symbol,LFC,FDR,ID
Snrpd1,-0.292965273,0.553591254,ENSMUSG00000002477
Tchp,2.018314073,0.003167614,ENSMUSG00000002486
Tiam1,4.013904257,0.000318839,ENSMUSG00000002489
Tsc2,-1.037822499,0.007502768,ENSMUSG00000002496
Rpl3l,0.317370807,0.883407149,ENSMUSG00000002500
Slc9a3r2,-0.581272811,0.371142164,ENSMUSG00000002504
Puf60,-0.273373956,0.541817777,ENSMUSG00000002524
Golga2,-0.012317123,0.902886631,ENSMUSG00000002546
Uck1,0.425209388,0.445592265,ENSMUSG00000002550
Scin,-0.552043118,0.529783697,ENSMUSG00000002565
Ikzf4,0.267585315,0.969416659,ENSMUSG00000002578
Mien1,0.053520924,0.932294222,ENSMUSG00000002580
Pon1,0.372058227,0.270252031,ENSMUSG00000002588
Axl,0.235566956,0.829521734,ENSMUSG00000002602
Tgfb1,0.336448391,0.848026416,ENSMUSG00000002603
Ccdc97,-0.95979162,0.126772528,ENSMUSG00000002608
Zfp40,-0.765523577,0.296486029,ENSMUSG00000002617
Akap8l,0.370218661,0.578215557,ENSMUSG00000002625
Shh,2.654324307,0.004100224,ENSMUSG00000002633
Pdcd2l,-0.813854851,0.153328001,ENSMUSG00000002635
Gtf2f1,-0.252269587,0.633244547,ENSMUSG00000002658
Clpp,-0.580727242,0.091223789,ENSMUSG00000002660
Alkbh7,-0.709631022,0.138810161,ENSMUSG00000002661
Pspn,0.319294982,0.985810895,ENSMUSG00000002664
Med6,-0.358745051,0.630878691,ENSMUSG00000002679
Prkd1,-0.072620743,0.975193144,ENSMUSG00000002688
Lcp2,-0.110620668,0.908868017,ENSMUSG00000002699
Cse1l,0.914544424,0.097711488,ENSMUSG00000002718
Naa20,-0.559508794,0.027311361,ENSMUSG00000002728
Prkra,0.479718761,0.417766548,ENSMUSG00000002731
Fkbp7,-0.503631063,0.453359257,ENSMUSG00000002732
Plekha3,0.215172532,0.776642736,ENSMUSG00000002733
Ykt6,-0.16763381,0.72835033,ENSMUSG00000002741
Baz1b,0.63249247,0.331572034,ENSMUSG00000002748
Pex6,0.930391614,0.156160996,ENSMUSG00000002763
Mrpl2,-0.021003446,1,ENSMUSG00000002767
Mea1,-0.346770339,0.383870239,ENSMUSG00000002768
Gnmt,-0.642082043,0.581065082,ENSMUSG00000002769
Grin2d,-0.296792629,0.723907245,ENSMUSG00000002771
Kdelr1,0.351084647,0.65777242,ENSMUSG00000002778
Tmem143,-1.586304553,0.00830875,ENSMUSG00000002781
Pdxk-ps,0.368918241,0.88796251,ENSMUSG00000002791
Ggct,-0.399794659,0.627886952,ENSMUSG00000002797
Jag2,-1.417134615,0.035646726,ENSMUSG00000002799
Btbd6,1.521218134,0.016301207,ENSMUSG00000002803
Nudt14,-1.718081293,0.002064381,ENSMUSG00000002804
Epdr1,-0.490056561,0.352873067,ENSMUSG00000002808
Flii,0.504574635,0.35255468,ENSMUSG00000002812
Top3a,0.764814852,0.398425825,ENSMUSG00000002814
Atg4d,-0.558600905,0.232973983,ENSMUSG00000002820
Qtrt1,-0.948555465,0.052573926,ENSMUSG00000002825
Plin4,-1.291775038,0.053475544,ENSMUSG00000002831
Hdgfl2,0.88484811,0.179553492,ENSMUSG00000002833
Chaf1a,0.574155009,0.219146693,ENSMUSG00000002835
