symbol,LFC,FDR,ID
Kcnh6,4.556129045,7.15E-11,ENSMUSG00000001901
Trmt1,0.155734386,0.85802808,ENSMUSG00000001909
Nacc1,-0.884212239,0.177200783,ENSMUSG00000001910
Nfix,-1.955732497,0.005653245,ENSMUSG00000001911
Slc1a5,-0.497746112,0.483508643,ENSMUSG00000001918
Uba1,0.345652098,0.553908266,ENSMUSG00000001924
Vwf,1.057708778,0.085323407,ENSMUSG00000001930
Siae,0.002087104,0.825511166,ENSMUSG00000001942
Vsig2,0.325699948,1,ENSMUSG00000001943
Esam,0.114901019,0.945835693,ENSMUSG00000001946
Spa17,0.215942845,0.779467016,ENSMUSG00000001948
Fam50a,-0.684388671,0.151229315,ENSMUSG00000001962
Emd,-0.606978698,0.291727497,ENSMUSG00000001964
Taco1,0.333864542,0.742689301,ENSMUSG00000001983
Grik3,-0.519364799,0.413771279,ENSMUSG00000001985
Gria3,0.082202327,1,ENSMUSG00000001986
Npas1,-0.099282216,1,ENSMUSG00000001988
Sipa1l2,0.430306946,0.597675883,ENSMUSG00000001995
Ap4e1,-0.498475481,0.522487094,ENSMUSG00000001998
Blvra,0.144683333,0.781651631,ENSMUSG00000001999
Pdzd4,-1.915411489,0.000100198,ENSMUSG00000002006
Srpk3,-0.4855392,0.398126176,ENSMUSG00000002007
Idh3g,0.478066352,0.421364789,ENSMUSG00000002010
Pnck,-4.459996006,3.21E-09,ENSMUSG00000002012
Ssr4,0.175665453,0.430907191,ENSMUSG00000002014
Bcap31,0.042088604,1,ENSMUSG00000002015
Fam98a,-1.259802783,0.024630404,ENSMUSG00000002017
Ltbp2,0.824171124,0.251395184,ENSMUSG00000002020
Kmt2a,-0.089670292,0.956564107,ENSMUSG00000002028
Ift46,-0.193963842,0.716165697,ENSMUSG00000002031
Tmem25,-2.758797957,1.83E-07,ENSMUSG00000002032
Trappc6a,-0.509770523,0.182271192,ENSMUSG00000002043
Supt6,-1.156097893,0.009329452,ENSMUSG00000002052
Spag5,3.057890595,0.004213516,ENSMUSG00000002055
Foxn1,0.267600964,1,ENSMUSG00000002057
Unc119,-2.107196466,0.001688219,ENSMUSG00000002058
Rab34,0.39952303,0.66811372,ENSMUSG00000002059
Sdf2,-0.014910724,0.805895066,ENSMUSG00000002064
Ccne1,0.038133415,1,ENSMUSG00000002068
Hsf2bp,0.062170095,1,ENSMUSG00000002076
Bbc3,3.647508923,4.77E-05,ENSMUSG00000002083
Psmc3,0.36055343,0.111313597,ENSMUSG00000002102
Acp2,0.967905975,0.007695666,ENSMUSG00000002103
Rapsn,-1.542547685,0.002705476,ENSMUSG00000002104
Slc39a13,-0.356822594,0.658244634,ENSMUSG00000002105
Celf2,0.431948166,0.29150189,ENSMUSG00000002107
Nr1h3,-0.36097803,0.657470113,ENSMUSG00000002108
Ddb2,0.843408753,0.061652755,ENSMUSG00000002109
Spi1,0.122809533,0.938427978,ENSMUSG00000002111
Sf3a1,0.372083828,0.692913543,ENSMUSG00000002129
Stat6,-0.247511606,0.551438616,ENSMUSG00000002147
Clgn,-0.027176391,0.90817557,ENSMUSG00000002190
Napsa,1.430392298,0.060236961,ENSMUSG00000002204
Vrk3,-0.181647848,0.633220105,ENSMUSG00000002205
Smg9,-0.525307699,0.439779408,ENSMUSG00000002210
Paxip1,0.982363685,0.153247714,ENSMUSG00000002221
Rmnd5a,-0.178994268,0.859029531,ENSMUSG00000002222
Mov10,-0.635774241,0.338451601,ENSMUSG00000002227
Ppm1j,0.100494984,1,ENSMUSG00000002228
Rhoc,0.620065918,0.19288928,ENSMUSG00000002233
Tead3,-0.32072004,1,ENSMUSG00000002249
Ppard,0.095901653,1,ENSMUSG00000002250
Def6,4.141996754,2.40E-11,ENSMUSG00000002257
Peg3,0.459745966,0.351706409,ENSMUSG00000002265
Zim1,-0.055840809,1,ENSMUSG00000002266
Metrn,-0.45331731,0.526188549,ENSMUSG00000002274
Lmf1,-1.707743869,0.002711994,ENSMUSG00000002279
Ciao3,-0.235354887,0.566119496,ENSMUSG00000002280
Angptl4,0.148297499,0.970363036,ENSMUSG00000002289
Dbf4,-0.32148039,0.833668137,ENSMUSG00000002297
Daxx,-0.039113512,1,ENSMUSG00000002307
Cd320,-0.272634193,0.382653492,ENSMUSG00000002308
Ipo4,0.830874078,0.169042059,ENSMUSG00000002319
Tm9sf1,-0.403532687,0.613359282,ENSMUSG00000002320
Rec8,-0.353085286,1,ENSMUSG00000002324
Irf9,-0.268398214,0.557842646,ENSMUSG00000002325
Gmpr2,-0.132046111,0.782462074,ENSMUSG00000002326
Mdp1,-0.621733592,0.128979772,ENSMUSG00000002329
Dhrs1,1.311565638,0.001791121,ENSMUSG00000002332
Ncan,-0.831759555,0.092409049,ENSMUSG00000002341
Tmem161a,0.009310674,1,ENSMUSG00000002342
Armc6,-1.016393801,0.101333019,ENSMUSG00000002343
Borcs8,-0.885515246,0.082366549,ENSMUSG00000002345
Slc25a42,2.051518889,0.024420422,ENSMUSG00000002346
Snx9,0.398841113,0.520893774,ENSMUSG00000002365
Ranbp3,-0.5658526,0.251849382,ENSMUSG00000002372
Ndufa11,-0.257390186,0.555128569,ENSMUSG00000002379
Bmp8b,0.10850921,0.852733165,ENSMUSG00000002384
Nr2f6,0.003511212,1,ENSMUSG00000002393
Use1,0.207708123,0.662376775,ENSMUSG00000002395
Ocel1,-0.203530478,0.904200089,ENSMUSG00000002396
Dyrk1b,0.612814552,0.491356768,ENSMUSG00000002409
Braf,0.148942604,0.742925508,ENSMUSG00000002413
Ndufb2,-0.014272339,1,ENSMUSG00000002416
Hltf,-0.064488827,1,ENSMUSG00000002428
Prpf6,-0.365663903,0.402606132,ENSMUSG00000002455
Rgs19,0.324330976,0.500647819,ENSMUSG00000002458
Rgs20,1.386752463,0.067856685,ENSMUSG00000002459
Abhd3,0.281910055,0.789507494,ENSMUSG00000002475
Snrpd1,-0.250119271,0.460973775,ENSMUSG00000002477
Tchp,0.338157219,0.689800663,ENSMUSG00000002486
Tiam1,0.360129017,0.731646522,ENSMUSG00000002489
Tsc2,0.285516959,0.46615064,ENSMUSG00000002496
Rpl3l,-0.08884622,1,ENSMUSG00000002500
Slc9a3r2,-0.570111396,0.305261953,ENSMUSG00000002504
Puf60,-0.501420964,0.184288623,ENSMUSG00000002524
Golga2,-0.563471727,0.207529482,ENSMUSG00000002546
Uck1,-0.61648792,0.180022216,ENSMUSG00000002550
Scin,0.2658531,0.732269996,ENSMUSG00000002565
Ikzf4,0.247109286,0.903932836,ENSMUSG00000002578
Mien1,0.115575905,0.855510952,ENSMUSG00000002580
Pon1,-0.019511681,1,ENSMUSG00000002588
Axl,-0.01462823,1,ENSMUSG00000002602
Tgfb1,0.29159317,0.853488995,ENSMUSG00000002603
Ccdc97,2.829801607,2.31E-05,ENSMUSG00000002608
Zfp40,-0.099626209,0.945950783,ENSMUSG00000002617
Akap8l,-0.981994759,0.080193545,ENSMUSG00000002625
Shh,0.014318908,1,ENSMUSG00000002633
Pdcd2l,-0.169187508,0.66104868,ENSMUSG00000002635
Gtf2f1,-0.371654356,0.391000739,ENSMUSG00000002658
Clpp,-0.03143593,0.889611848,ENSMUSG00000002660
Alkbh7,-0.32746821,0.443647594,ENSMUSG00000002661
Pspn,0.19124161,1,ENSMUSG00000002664
Med6,0.482360228,0.314659726,ENSMUSG00000002679
Prkd1,0.96816859,0.173372869,ENSMUSG00000002688
Lcp2,-0.157675291,0.875883007,ENSMUSG00000002699
Cse1l,0.436601085,0.431704769,ENSMUSG00000002718
Naa20,-0.215332931,0.404171783,ENSMUSG00000002728
Prkra,-0.068700215,0.760801326,ENSMUSG00000002731
