symbol,LFC,FDR,ID
Axl,0.007276006,1,ENSMUSG00000002602
Tgfb1,0.03319553,0.039427253,ENSMUSG00000002603
Ccdc97,0.000947186,1,ENSMUSG00000002608
Zfp40,-0.009799931,1,ENSMUSG00000002617
Akap8l,0.003446646,1,ENSMUSG00000002625
Shh,-0.006262295,1,ENSMUSG00000002633
Pdcd2l,8.18E-05,1,ENSMUSG00000002635
Gtf2f1,0.003873537,1,ENSMUSG00000002658
Clpp,0.009173977,1,ENSMUSG00000002660
Alkbh7,-0.017734825,1,ENSMUSG00000002661
Pspn,-0.005541408,1,ENSMUSG00000002664
Med6,-0.008692621,1,ENSMUSG00000002679
Prkd1,-0.008377552,1,ENSMUSG00000002688
Lcp2,-0.00227163,1,ENSMUSG00000002699
Cse1l,-0.00676553,1,ENSMUSG00000002718
Naa20,-0.022079194,1,ENSMUSG00000002728
Prkra,-0.008853315,1,ENSMUSG00000002731
Fkbp7,-0.026602556,0.843535364,ENSMUSG00000002732
Plekha3,0.009852375,1,ENSMUSG00000002733
Ykt6,0.006538509,1,ENSMUSG00000002741
Baz1b,0.005021126,1,ENSMUSG00000002748
Pex6,0.004485927,1,ENSMUSG00000002763
Mrpl2,-0.005256223,1,ENSMUSG00000002767
Mea1,-0.010715353,1,ENSMUSG00000002768
Gnmt,-0.002068607,1,ENSMUSG00000002769
Grin2d,0.012969333,1,ENSMUSG00000002771
Kdelr1,0.005050116,1,ENSMUSG00000002778
Tmem143,-0.00352015,1,ENSMUSG00000002781
Pdxk-ps,0.006371143,1,ENSMUSG00000002791
Ggct,0.020533068,1,ENSMUSG00000002797
Jag2,-0.002767032,1,ENSMUSG00000002799
Btbd6,-0.003423722,1,ENSMUSG00000002803
Nudt14,-0.011836553,1,ENSMUSG00000002804
Epdr1,-0.037161017,0.854638654,ENSMUSG00000002808
Flii,0.00760217,1,ENSMUSG00000002812
Top3a,0.003458789,1,ENSMUSG00000002814
Atg4d,-0.005923394,1,ENSMUSG00000002820
Qtrt1,-0.002276442,1,ENSMUSG00000002825
Plin4,0.008839051,1,ENSMUSG00000002831
Hdgfl2,-0.000440922,1,ENSMUSG00000002833
Chaf1a,-0.001963155,1,ENSMUSG00000002835
Adprh,-0.005915666,1,ENSMUSG00000002844
Tmem39a,0.00325181,1,ENSMUSG00000002845
Timmdc1,-0.004930362,1,ENSMUSG00000002846
Pla1a,0.007169227,1,ENSMUSG00000002847
Mcm2,-0.003792533,1,ENSMUSG00000002870
Tpra1,-0.013899571,1,ENSMUSG00000002871
Nab1,0.022952226,0.806595527,ENSMUSG00000002881
Adgre5,0.014633331,1,ENSMUSG00000002885
Il17ra,3.656445068,0.001526552,ENSMUSG00000002897
Lamb1,0.004156441,1,ENSMUSG00000002900
Kcnn1,-0.008604473,1,ENSMUSG00000002908
Arrdc2,-0.004508281,1,ENSMUSG00000002910
Ppp1r17,-0.000163048,1,ENSMUSG00000002930
Cd36,-0.001054594,1,ENSMUSG00000002944
Map2k7,-0.000978996,1,ENSMUSG00000002948
Timm44,-0.003594962,1,ENSMUSG00000002949
Ap2a2,0.04582718,1,ENSMUSG00000002957
Pnkp,-0.006143516,1,ENSMUSG00000002963
Med25,0.00585108,1,ENSMUSG00000002968
Bcam,0.015629576,1,ENSMUSG00000002980
Clptm1,-0.006869975,1,ENSMUSG00000002981
Relb,0.003771102,1,ENSMUSG00000002983
Tomm40,-0.011213983,1,ENSMUSG00000002984
Apoe,-0.004981374,1,ENSMUSG00000002985
Hbp1,-0.074751602,0.841925544,ENSMUSG00000002996
Prkar2b,-0.010685824,1,ENSMUSG00000002997
Cdkn1b,-0.091464646,0.250572034,ENSMUSG00000003031
Klf4,0.012114166,1,ENSMUSG00000003032
Ap1m1,-0.00949097,1,ENSMUSG00000003033
Rab8a,0.008320448,1,ENSMUSG00000003037
Hmgn2,-0.01661889,1,ENSMUSG00000003038
Fam32a,1.92E-06,1,ENSMUSG00000003039
Elf3,0.001207473,1,ENSMUSG00000003051
