symbol,LCF,FDR,ID
Angptl4,-0.005889087,1,ENSMUSG00000002289
Dbf4,-0.11223016,0.525207184,ENSMUSG00000002297
Daxx,-0.00854691,1,ENSMUSG00000002307
Cd320,0.057777945,1,ENSMUSG00000002308
Ipo4,-0.110024082,1,ENSMUSG00000002319
Tm9sf1,-0.271191567,0.908799973,ENSMUSG00000002320
Rec8,-0.130894763,0.03685399,ENSMUSG00000002324
Irf9,0.126968778,1,ENSMUSG00000002325
Gmpr2,0.043240964,1,ENSMUSG00000002326
Mdp1,-0.356537613,0.819283852,ENSMUSG00000002329
Dhrs1,0.309052925,0.965940232,ENSMUSG00000002332
Ncan,-0.026630444,1,ENSMUSG00000002341
Tmem161a,0.02023259,1,ENSMUSG00000002342
Armc6,0.021320249,1,ENSMUSG00000002343
Borcs8,-0.106062104,1,ENSMUSG00000002345
Slc25a42,-0.049407646,0.888203501,ENSMUSG00000002346
Snx9,-0.005300664,1,ENSMUSG00000002365
Ranbp3,-0.006048694,1,ENSMUSG00000002372
Ndufa11,-0.110847555,1,ENSMUSG00000002379
Bmp8b,0.045943545,1,ENSMUSG00000002384
Nr2f6,0.089017932,1,ENSMUSG00000002393
Use1,-0.048951358,1,ENSMUSG00000002395
Ocel1,0.06073426,1,ENSMUSG00000002396
Dyrk1b,0.155911372,0.577983235,ENSMUSG00000002409
Braf,0.073806974,1,ENSMUSG00000002413
Ndufb2,-0.032346361,1,ENSMUSG00000002416
Hltf,0.03665927,1,ENSMUSG00000002428
Prpf6,0.113481767,1,ENSMUSG00000002455
Rgs19,0.049604036,1,ENSMUSG00000002458
Rgs20,0.20670229,0.581711097,ENSMUSG00000002459
Abhd3,-0.013016553,1,ENSMUSG00000002475
Snrpd1,-0.04943287,1,ENSMUSG00000002477
Tchp,-0.054889845,1,ENSMUSG00000002486
Tiam1,0.19915976,0.108113398,ENSMUSG00000002489
Tsc2,0.009027113,1,ENSMUSG00000002496
Rpl3l,-0.020633901,1,ENSMUSG00000002500
Slc9a3r2,-0.708102781,0.351725748,ENSMUSG00000002504
Puf60,-0.07389823,1,ENSMUSG00000002524
Golga2,-0.007540147,1,ENSMUSG00000002546
Uck1,0.077557593,1,ENSMUSG00000002550
Scin,0.013281445,1,ENSMUSG00000002565
Ikzf4,3.481880266,2.02E-07,ENSMUSG00000002578
Mien1,0.060442903,1,ENSMUSG00000002580
Pon1,-0.003931658,1,ENSMUSG00000002588
Axl,0.128642317,1,ENSMUSG00000002602
Tgfb1,1.674485646,0.030983789,ENSMUSG00000002603
Ccdc97,0.000745605,1,ENSMUSG00000002608
Zfp40,-0.163297205,0.901376889,ENSMUSG00000002617
Akap8l,0.087606233,1,ENSMUSG00000002625
Shh,-0.017645838,0.994733537,ENSMUSG00000002633
Pdcd2l,-0.060168829,1,ENSMUSG00000002635
Gtf2f1,0.05501494,1,ENSMUSG00000002658
Clpp,0.263108793,0.992410538,ENSMUSG00000002660
Alkbh7,0.04875993,1,ENSMUSG00000002661
Pspn,-0.074820033,0.66906475,ENSMUSG00000002664
Med6,0.152077215,1,ENSMUSG00000002679
Prkd1,-0.171671811,0.957706514,ENSMUSG00000002688
Lcp2,0.013723312,1,ENSMUSG00000002699
